"Category","File","Width","Height","KB","Url"
"csr-gallery","tree_planting_2017_4_20180326_2039641389.jpg","700","371","304","https://www.qpl.com.ph/wp-content/uploads/2021/05/tree_planting_2017_4_20180326_2039641389.jpg"
"csr-gallery","tree_planting_2017_3_20180326_1957776496.jpg","700","371","218","https://www.qpl.com.ph/wp-content/uploads/2021/05/tree_planting_2017_3_20180326_1957776496.jpg"
"csr-gallery","tree_planting_2017_1_20180326_2087675953.jpg","700","371","248","https://www.qpl.com.ph/wp-content/uploads/2021/05/tree_planting_2017_1_20180326_2087675953.jpg"
"csr-gallery","tree_planting_2017_13_20180326_2099292503.jpg","700","371","252","https://www.qpl.com.ph/wp-content/uploads/2021/05/tree_planting_2017_13_20180326_2099292503.jpg"
"csr-gallery","pamaskong-handog_9_20160324_1868149973.jpg","700","371","132","https://www.qpl.com.ph/wp-content/uploads/2021/05/pamaskong-handog_9_20160324_1868149973.jpg"
"csr-gallery","pamaskong-handog_7_20160324_2004019348.jpg","700","371","133","https://www.qpl.com.ph/wp-content/uploads/2021/05/pamaskong-handog_7_20160324_2004019348.jpg"
"csr-gallery","pamaskong-handog_11_20160324_1166657701.jpg","700","371","107","https://www.qpl.com.ph/wp-content/uploads/2021/05/pamaskong-handog_11_20160324_1166657701.jpg"
"csr-gallery","pamaskong-handog_3_20160324_1028895442.jpg","700","371","113","https://www.qpl.com.ph/wp-content/uploads/2021/05/pamaskong-handog_3_20160324_1028895442.jpg"
"csr-gallery","pamaskong-handog_12_20160324_1735979815.jpg","700","371","115","https://www.qpl.com.ph/wp-content/uploads/2021/05/pamaskong-handog_12_20160324_1735979815.jpg"
"csr-gallery","2016_christmas_activities_16_20170328_1137010446.jpg","700","371","71","https://www.qpl.com.ph/wp-content/uploads/2021/05/2016_christmas_activities_16_20170328_1137010446.jpg"
"csr-gallery","2016_christmas_activities_11_20170328_1300074082.jpg","700","371","76","https://www.qpl.com.ph/wp-content/uploads/2021/05/2016_christmas_activities_11_20170328_1300074082.jpg"
"csr-gallery","2016_christmas_activities_9_20170328_1931865447.jpg","700","371","110","https://www.qpl.com.ph/wp-content/uploads/2021/05/2016_christmas_activities_9_20170328_1931865447.jpg"
"csr-gallery","2016_christmas_activities_8_20170328_1089944001.jpg","700","371","74","https://www.qpl.com.ph/wp-content/uploads/2021/05/2016_christmas_activities_8_20170328_1089944001.jpg"
"csr-gallery","2016_christmas_activities_22_20170328_1361028131.jpg","700","371","69","https://www.qpl.com.ph/wp-content/uploads/2021/05/2016_christmas_activities_22_20170328_1361028131.jpg"
"csr-gallery","eye_operation_6_20180327_1035143054.jpg","700","371","108","https://www.qpl.com.ph/wp-content/uploads/2021/05/eye_operation_6_20180327_1035143054.jpg"
"csr-gallery","eye_operation_1_20180327_1605019516.jpg","700","371","132","https://www.qpl.com.ph/wp-content/uploads/2021/05/eye_operation_1_20180327_1605019516.jpg"
"csr-gallery","eye_operation_10_20180327_1862702857.jpg","700","371","181","https://www.qpl.com.ph/wp-content/uploads/2021/05/eye_operation_10_20180327_1862702857.jpg"
"csr-gallery","eye_operation_4_20180327_1421140599.jpg","700","371","153","https://www.qpl.com.ph/wp-content/uploads/2021/05/eye_operation_4_20180327_1421140599.jpg"
"csr-gallery","farm_3_20160313_1705233727.jpg","700","371","82","https://www.qpl.com.ph/wp-content/uploads/2021/05/farm_3_20160313_1705233727.jpg"
"csr-gallery","farm2b_1_20160314_1606962529.jpg","700","371","286","https://www.qpl.com.ph/wp-content/uploads/2021/05/farm2b_1_20160314_1606962529.jpg"
"csr-gallery","farm_7_20160313_1375944983.jpg","700","371","186","https://www.qpl.com.ph/wp-content/uploads/2021/05/farm_7_20160313_1375944983.jpg"
"csr-gallery","farm_4_20160313_1335649865.jpg","700","371","177","https://www.qpl.com.ph/wp-content/uploads/2021/05/farm_4_20160313_1335649865.jpg"
"csr-gallery","farm_9_20160313_1912925914.jpg","700","371","105","https://www.qpl.com.ph/wp-content/uploads/2021/05/farm_9_20160313_1912925914.jpg"
"csr-gallery","farm_10_20160313_1067818497.jpg","700","371","183","https://www.qpl.com.ph/wp-content/uploads/2021/05/farm_10_20160313_1067818497.jpg"
"csr-gallery","coastal_clean_up_2017_2_20180326_1855379080.jpg","700","371","234","https://www.qpl.com.ph/wp-content/uploads/2021/05/coastal_clean_up_2017_2_20180326_1855379080.jpg"
"csr-gallery","coastal_clean_up_2017_7_20180326_1017435863.jpg","700","371","203","https://www.qpl.com.ph/wp-content/uploads/2021/05/coastal_clean_up_2017_7_20180326_1017435863.jpg"
"csr-gallery","coastal_clean_up_2017_5_20180326_1727427529.jpg","700","371","130","https://www.qpl.com.ph/wp-content/uploads/2021/05/coastal_clean_up_2017_5_20180326_1727427529.jpg"
"csr-gallery","coastal_clean_up_2017_1_20180326_1329401033.jpg","700","371","232","https://www.qpl.com.ph/wp-content/uploads/2021/05/coastal_clean_up_2017_1_20180326_1329401033.jpg"
"csr-gallery","coastal_clean_up_2017_11_20180326_1814743493.jpg","700","371","199","https://www.qpl.com.ph/wp-content/uploads/2021/05/coastal_clean_up_2017_11_20180326_1814743493.jpg"
"csr-gallery","coastal_clean_up_2017_3_20180326_1117215393.jpg","700","371","164","https://www.qpl.com.ph/wp-content/uploads/2021/05/coastal_clean_up_2017_3_20180326_1117215393.jpg"
"csr-gallery","coastal_clean_up_2017_4_20180326_1547276455.jpg","700","371","188","https://www.qpl.com.ph/wp-content/uploads/2021/05/coastal_clean_up_2017_4_20180326_1547276455.jpg"
"csr-gallery","qpl_community_christmas_party_8_20160324_2069317779.jpg","700","371","145","https://www.qpl.com.ph/wp-content/uploads/2021/05/qpl_community_christmas_party_8_20160324_2069317779.jpg"
"csr-gallery","qpl_community_christmas_party_2_20160324_1553238647.jpg","700","371","147","https://www.qpl.com.ph/wp-content/uploads/2021/05/qpl_community_christmas_party_2_20160324_1553238647.jpg"
"csr-gallery","qpl_community_christmas_party_5_20160324_1522032168.jpg","700","371","120","https://www.qpl.com.ph/wp-content/uploads/2021/05/qpl_community_christmas_party_5_20160324_1522032168.jpg"
"csr-gallery","qpl_community_christmas_party_6_20160324_1298276411.jpg","700","371","139","https://www.qpl.com.ph/wp-content/uploads/2021/05/qpl_community_christmas_party_6_20160324_1298276411.jpg"
